panel_id,specimen_id,lot_id,test_date,operator_id,condition,ilss_mpa,failure_mode,fiber_volume_pct,void_content_pct,tg_c,specimen_thickness_mm,span_mm,cv_pct,result,fail_code
PNL-DVT-001,SP-001-A,LOT-PRG-055,2026-04-10,OP-1201,RTD,92.5,INTERLAMINAR_SHEAR,59.2,0.8,188,2.05,8.20,4.2,PASS,-
PNL-DVT-001,SP-001-B,LOT-PRG-055,2026-04-10,OP-1201,RTD,88.3,INTERLAMINAR_SHEAR,58.8,1.0,186,2.08,8.32,4.2,PASS,-
PNL-DVT-001,SP-001-C,LOT-PRG-055,2026-04-10,OP-1201,RTD,95.1,INTERLAMINAR_SHEAR,60.1,0.6,190,2.02,8.08,4.2,PASS,-
PNL-DVT-001,SP-001-D,LOT-PRG-055,2026-04-10,OP-1202,RTD,86.8,INTERLAMINAR_SHEAR,58.5,1.2,185,2.10,8.40,4.2,PASS,-
PNL-DVT-001,SP-001-E,LOT-PRG-055,2026-04-10,OP-1202,RTD,90.2,INTERLAMINAR_SHEAR,59.5,0.9,187,2.06,8.24,4.2,PASS,-
PNL-DVT-002,SP-002-A,LOT-PRG-055,2026-04-10,OP-1201,RTD,94.0,INTERLAMINAR_SHEAR,60.0,0.7,189,2.03,8.12,3.8,PASS,-
PNL-DVT-002,SP-002-B,LOT-PRG-055,2026-04-10,OP-1201,RTD,87.5,INTERLAMINAR_SHEAR,58.2,1.1,184,2.09,8.36,3.8,PASS,-
PNL-DVT-002,SP-002-C,LOT-PRG-055,2026-04-10,OP-1202,RTD,91.8,INTERLAMINAR_SHEAR,59.8,0.8,188,2.05,8.20,3.8,PASS,-
PNL-DVT-002,SP-002-D,LOT-PRG-055,2026-04-10,OP-1202,RTD,89.5,INTERLAMINAR_SHEAR,59.0,0.9,186,2.07,8.28,3.8,PASS,-
PNL-DVT-002,SP-002-E,LOT-PRG-055,2026-04-10,OP-1201,RTD,93.2,INTERLAMINAR_SHEAR,60.2,0.7,190,2.04,8.16,3.8,PASS,-
PNL-DVT-003,SP-003-A,LOT-PRG-055,2026-05-12,OP-1201,ETW,62.5,INTERLAMINAR_SHEAR,59.2,0.8,188,2.05,8.20,6.5,PASS,-
PNL-DVT-003,SP-003-B,LOT-PRG-055,2026-05-12,OP-1201,ETW,58.2,INTERLAMINAR_SHEAR,58.8,1.0,186,2.08,8.32,6.5,PASS,-
PNL-DVT-003,SP-003-C,LOT-PRG-055,2026-05-12,OP-1202,ETW,53.8,FLEXURE,58.5,1.5,183,2.12,8.48,6.5,FAIL,FAILURE_MODE_INVALID
PNL-DVT-003,SP-003-D,LOT-PRG-055,2026-05-12,OP-1202,ETW,60.1,INTERLAMINAR_SHEAR,59.5,0.9,187,2.06,8.24,6.5,PASS,-
PNL-DVT-003,SP-003-E,LOT-PRG-055,2026-05-12,OP-1201,ETW,56.5,INTERLAMINAR_SHEAR,59.0,1.0,186,2.07,8.28,6.5,PASS,-
PNL-DVT-004,SP-004-A,LOT-PRG-055,2026-05-12,OP-1201,ETW,59.8,INTERLAMINAR_SHEAR,60.0,0.7,189,2.04,8.16,5.8,PASS,-
PNL-DVT-004,SP-004-B,LOT-PRG-055,2026-05-12,OP-1202,ETW,55.2,INTERLAMINAR_SHEAR,58.2,1.2,184,2.10,8.40,5.8,PASS,-
PNL-DVT-004,SP-004-C,LOT-PRG-055,2026-05-12,OP-1201,ETW,63.0,INTERLAMINAR_SHEAR,60.2,0.6,190,2.03,8.12,5.8,PASS,-
