batch_id,stage,vessel_no,test_date,operator_id,dissolution_10min_pct,dissolution_20min_pct,dissolution_30min_pct,dissolution_45min_pct,q_value_pct,medium_ph,medium_temp_c,rpm,result
MET500-2026-042,S1,1,2026-04-10,QC-DISS-01,61.7,79.3,93.7,96.2,80,6.8,36.9,50,PASS
MET500-2026-042,S1,2,2026-04-10,QC-DISS-02,49.1,76.1,85.5,96.5,80,6.8,37.0,50,PASS
MET500-2026-042,S1,3,2026-04-10,QC-DISS-03,50.3,73.6,89.1,97.5,80,6.8,37.2,50,PASS
MET500-2026-042,S1,4,2026-04-10,QC-DISS-03,56.7,78.4,96.0,98.1,80,6.8,36.8,50,PASS
MET500-2026-042,S1,5,2026-04-10,QC-DISS-03,59.1,76.4,85.9,99.5,80,6.8,37.3,50,PASS
MET500-2026-042,S1,6,2026-04-10,QC-DISS-01,64.6,80.7,90.6,96.4,80,6.8,37.2,50,PASS
MET500-2026-043,S1,1,2026-04-10,QC-DISS-01,60.6,82.6,88.6,100,80,6.8,37.1,50,PASS
MET500-2026-043,S1,2,2026-04-10,QC-DISS-02,63.7,69.0,90.0,97.0,80,6.8,37.4,50,PASS
MET500-2026-043,S1,3,2026-04-10,QC-DISS-02,71.5,82.5,89.1,93.9,80,6.8,36.7,50,PASS
MET500-2026-043,S1,4,2026-04-10,QC-DISS-02,59.9,76.9,95.7,96.3,80,6.8,37.2,50,PASS
MET500-2026-043,S1,5,2026-04-10,QC-DISS-01,43.2,61.5,73.6,83.4,80,6.8,36.9,50,FAIL
MET500-2026-043,S1,6,2026-04-10,QC-DISS-01,53.3,71.0,90.6,98.7,80,6.8,37.2,50,PASS
MET500-2026-044,S1,1,2026-04-10,QC-DISS-03,52.3,78.7,88.2,93.1,80,6.8,37.1,50,PASS
MET500-2026-044,S1,2,2026-04-10,QC-DISS-03,64.2,81.2,87.6,94.4,80,6.8,36.9,50,PASS
MET500-2026-044,S1,3,2026-04-10,QC-DISS-01,51.2,82.4,87.3,97.5,80,6.8,37.0,50,PASS
MET500-2026-044,S1,4,2026-04-10,QC-DISS-01,67.8,77.0,86.5,94.5,80,6.8,36.9,50,PASS
MET500-2026-044,S1,5,2026-04-10,QC-DISS-01,42.3,85.7,97.4,98.6,80,6.8,36.9,50,PASS
MET500-2026-044,S1,6,2026-04-10,QC-DISS-01,58.8,74.3,90.8,92.3,80,6.8,37.1,50,PASS
MET500-2026-045,S1,1,2026-04-10,QC-DISS-01,64.7,90.8,90.4,98.3,80,6.8,36.7,50,PASS
MET500-2026-045,S1,2,2026-04-10,QC-DISS-01,61.1,82.5,94.6,97.5,80,6.8,37.1,50,PASS
MET500-2026-045,S1,3,2026-04-10,QC-DISS-01,60.4,81.0,89.6,98.1,80,6.8,37.2,50,PASS
MET500-2026-045,S1,4,2026-04-10,QC-DISS-03,56.7,80.9,94.2,97.0,80,6.8,36.9,50,PASS
MET500-2026-045,S1,5,2026-04-10,QC-DISS-01,68.7,81.2,85.8,95.5,80,6.8,36.9,50,PASS
MET500-2026-045,S1,6,2026-04-10,QC-DISS-02,48.7,81.9,85.5,96.8,80,6.8,37.0,50,PASS
MET500-2026-046,S1,1,2026-04-10,QC-DISS-03,60.0,75.6,94.2,97.5,80,6.8,36.9,50,PASS
MET500-2026-046,S1,2,2026-04-10,QC-DISS-02,57.7,75.2,88.8,97.5,80,6.8,37.3,50,PASS
MET500-2026-046,S1,3,2026-04-10,QC-DISS-02,50.5,70.6,93.1,95.2,80,6.8,36.9,50,PASS
MET500-2026-046,S1,4,2026-04-10,QC-DISS-03,51.9,81.8,90.0,100,80,6.8,37.3,50,PASS
MET500-2026-046,S1,5,2026-04-10,QC-DISS-03,60.0,85.9,92.7,99.5,80,6.8,36.8,50,PASS
MET500-2026-046,S1,6,2026-04-10,QC-DISS-02,56.7,80.2,88.6,94.5,80,6.8,37.3,50,PASS
MET500-2026-047,S1,1,2026-04-10,QC-DISS-03,51.0,74.9,92.3,96.2,80,6.8,36.9,50,PASS
MET500-2026-047,S1,2,2026-04-10,QC-DISS-03,52.4,83.7,91.4,96.7,80,6.8,37.1,50,PASS
MET500-2026-047,S1,3,2026-04-10,QC-DISS-03,60.2,82.1,96.5,96.0,80,6.8,37.1,50,PASS
MET500-2026-047,S1,4,2026-04-10,QC-DISS-03,62.5,75.5,89.3,96.6,80,6.8,37.4,50,PASS
MET500-2026-047,S1,5,2026-04-10,QC-DISS-01,54.3,77.6,88.8,96.7,80,6.8,37.4,50,PASS
MET500-2026-047,S1,6,2026-04-10,QC-DISS-01,69.8,83.4,90.0,96.3,80,6.8,36.7,50,PASS
