block_id,timestamp,cmm_id,operator_id,cyl1_bore_mm,cyl2_bore_mm,cyl3_bore_mm,cyl4_bore_mm,cyl1_roundness_mm,deck_flatness_mm,main_brg_bore_mm,main_brg_coax_mm,bolt_hole_tp_mm,result
EB-AL4-20260410-0055,2026-04-10T07:01:21+08:00,CMM-ZEISS-01,QC-CMM-03,82.005,82.003,82.001,81.997,0.002,0.01,54.998,0.014,0.08,PASS
EB-AL4-20260410-0056,2026-04-10T07:12:19+08:00,CMM-ZEISS-01,QC-CMM-01,82.002,82.002,81.997,82.0,0.0048,0.022,54.995,0.009,0.08,PASS
EB-AL4-20260410-0057,2026-04-10T07:27:53+08:00,CMM-ZEISS-02,QC-CMM-02,82.005,82.003,82.003,81.997,0.002,0.015,54.999,0.012,0.08,PASS
EB-AL4-20260410-0058,2026-04-10T07:39:12+08:00,CMM-ZEISS-02,QC-CMM-03,82.004,81.997,82.003,81.998,0.004,0.016,55.002,0.011,0.09,PASS
EB-AL4-20260410-0059,2026-04-10T07:50:04+08:00,CMM-HEXAGON-01,QC-CMM-03,82.0,82.002,82.003,81.996,0.003,0.013,55.004,0.016,0.09,PASS
EB-AL4-20260410-0060,2026-04-10T08:01:34+08:00,CMM-ZEISS-01,QC-CMM-01,82.001,82.0,82.0,82.008,0.002,0.023,55.001,0.019,0.1,PASS
EB-AL4-20260410-0061,2026-04-10T08:14:14+08:00,CMM-ZEISS-02,QC-CMM-01,82.014,82.0,82.004,82.0,0.004,0.025,55.0,0.019,0.12,FAIL
EB-AL4-20260410-0062,2026-04-10T08:28:33+08:00,CMM-ZEISS-01,QC-CMM-02,82.01,82.007,82.001,81.997,0.004,0.018,55.003,0.014,0.1,PASS
EB-AL4-20260410-0063,2026-04-10T08:37:21+08:00,CMM-HEXAGON-01,QC-CMM-01,82.001,82.002,82.006,82.001,0.001,0.019,55.007,0.017,0.08,PASS
EB-AL4-20260410-0064,2026-04-10T08:52:32+08:00,CMM-ZEISS-02,QC-CMM-02,82.008,82.003,82.001,81.998,0.002,0.012,55.002,0.008,0.08,PASS
EB-AL4-20260410-0065,2026-04-10T09:01:20+08:00,CMM-ZEISS-01,QC-CMM-01,82.006,82.0,82.005,82.0,0.002,0.015,55.006,0.012,0.08,PASS
EB-AL4-20260410-0066,2026-04-10T09:13:41+08:00,CMM-ZEISS-01,QC-CMM-02,82.002,82.007,81.999,81.998,0.004,0.016,54.997,0.018,0.08,PASS
EB-AL4-20260410-0067,2026-04-10T09:27:53+08:00,CMM-ZEISS-02,QC-CMM-03,82.002,82.005,82.004,82.0,0.003,0.019,55.007,0.023,0.1,FAIL
EB-AL4-20260410-0068,2026-04-10T09:40:26+08:00,CMM-ZEISS-01,QC-CMM-01,82.001,81.999,82.003,81.998,0.002,0.012,55.0,0.004,0.09,PASS
EB-AL4-20260410-0069,2026-04-10T09:52:28+08:00,CMM-ZEISS-02,QC-CMM-03,82.003,81.999,82.002,81.995,0.003,0.03,54.999,0.016,0.09,PASS
EB-AL4-20260410-0070,2026-04-10T10:04:33+08:00,CMM-HEXAGON-01,QC-CMM-03,82.002,82.0,82.003,81.995,0.003,0.011,55.002,0.012,0.07,PASS
EB-AL4-20260410-0071,2026-04-10T10:13:12+08:00,CMM-ZEISS-02,QC-CMM-03,82.004,82.003,82.005,81.999,0.003,0.017,55.003,0.008,0.04,PASS
EB-AL4-20260410-0072,2026-04-10T10:24:49+08:00,CMM-HEXAGON-01,QC-CMM-02,82.001,81.998,81.999,82.0,0.002,0.027,55.001,0.008,0.11,PASS
EB-AL4-20260410-0073,2026-04-10T10:40:25+08:00,CMM-ZEISS-02,QC-CMM-03,82.001,82.006,82.002,82.0,0.002,0.015,55.011,0.014,0.12,PASS
EB-AL4-20260410-0074,2026-04-10T10:52:04+08:00,CMM-HEXAGON-01,QC-CMM-02,82.0,82.009,82.003,81.997,0.0048,0.024,55.006,0.017,0.06,PASS
EB-AL4-20260410-0075,2026-04-10T11:01:23+08:00,CMM-ZEISS-02,QC-CMM-01,82.006,82.001,82.005,81.999,0.003,0.019,55.011,0.014,0.08,PASS
EB-AL4-20260410-0076,2026-04-10T11:15:06+08:00,CMM-ZEISS-02,QC-CMM-01,82.01,81.992,81.998,81.994,0.003,0.02,54.995,0.009,0.09,PASS
EB-AL4-20260410-0077,2026-04-10T11:26:55+08:00,CMM-HEXAGON-01,QC-CMM-01,82.004,82.0,82.001,81.997,0.003,0.013,55.003,0.009,0.1,PASS
EB-AL4-20260410-0078,2026-04-10T11:40:50+08:00,CMM-ZEISS-02,QC-CMM-03,82.005,82.003,82.003,82.002,0.004,0.021,55.005,0.016,0.08,PASS
EB-AL4-20260410-0079,2026-04-10T11:48:23+08:00,CMM-ZEISS-01,QC-CMM-03,82.009,81.998,82.002,82.0,0.003,0.015,54.999,0.015,0.07,PASS
