part_id,mold_cavity,shot_no,test_date,operator_id,shrinkage_flow_pct,shrinkage_transverse_pct,diff_shrinkage_pct,warpage_mm,length_mm,width_mm,height_mm,wall_thickness_mm,gate_vestige_mm,sink_depth_mm,result,fail_code
ABS-IOT-0001,CAV-1,1025,2026-04-01,OP-1001,0.52,0.48,0.04,0.12,79.58,54.74,25.87,2.02,0.18,0.02,PASS,-
ABS-IOT-0002,CAV-2,1025,2026-04-01,OP-1001,0.55,0.50,0.05,0.15,79.56,54.72,25.86,2.00,0.20,0.03,PASS,-
ABS-IOT-0003,CAV-1,1050,2026-04-01,OP-1001,0.48,0.45,0.03,0.10,79.62,54.78,25.90,2.04,0.15,0.02,PASS,-
ABS-IOT-0004,CAV-2,1050,2026-04-01,OP-1002,0.60,0.55,0.05,0.18,79.52,54.68,25.82,1.98,0.22,0.04,PASS,-
ABS-IOT-0005,CAV-1,1075,2026-04-01,OP-1002,0.65,0.48,0.17,0.22,79.48,54.74,25.80,1.96,0.25,0.06,FAIL,DIFF_SHRINKAGE
ABS-IOT-0006,CAV-2,1075,2026-04-01,OP-1002,0.50,0.47,0.03,0.13,79.60,54.76,25.88,2.01,0.18,0.02,PASS,-
ABS-IOT-0007,CAV-1,1100,2026-04-02,OP-1001,0.53,0.49,0.04,0.14,79.58,54.74,25.86,2.01,0.19,0.03,PASS,-
ABS-IOT-0008,CAV-2,1100,2026-04-02,OP-1001,0.58,0.52,0.06,0.16,79.54,54.70,25.84,1.99,0.21,0.03,PASS,-
ABS-IOT-0009,CAV-1,1125,2026-04-02,OP-1002,0.45,0.42,0.03,0.08,79.64,54.80,25.92,2.05,0.14,0.01,PASS,-
ABS-IOT-0010,CAV-2,1125,2026-04-02,OP-1002,0.62,0.58,0.04,0.19,79.50,54.66,25.80,1.97,0.24,0.05,PASS,-
ABS-IOT-0011,CAV-1,1150,2026-04-02,OP-1001,0.50,0.46,0.04,0.11,79.60,54.76,25.88,2.02,0.17,0.02,PASS,-
ABS-IOT-0012,CAV-2,1150,2026-04-02,OP-1001,0.72,0.60,0.12,0.25,79.42,54.60,25.76,1.92,0.32,0.08,FAIL,SHRINKAGE_AND_WARP
ABS-IOT-0013,CAV-1,1175,2026-04-03,OP-1002,0.52,0.48,0.04,0.12,79.58,54.74,25.87,2.02,0.18,0.02,PASS,-
ABS-IOT-0014,CAV-2,1175,2026-04-03,OP-1002,0.56,0.51,0.05,0.15,79.55,54.71,25.85,2.00,0.20,0.03,PASS,-
ABS-IOT-0015,CAV-1,1200,2026-04-03,OP-1001,0.48,0.44,0.04,0.09,79.62,54.78,25.90,2.04,0.15,0.02,PASS,-
ABS-IOT-0016,CAV-2,1200,2026-04-03,OP-1001,0.54,0.50,0.04,0.14,79.57,54.72,25.86,2.01,0.19,0.03,PASS,-
ABS-IOT-0017,CAV-1,1225,2026-04-03,OP-1002,0.68,0.50,0.18,0.24,79.46,54.72,25.78,1.94,0.28,0.07,FAIL,DIFF_SHRINKAGE_AND_WARP
ABS-IOT-0018,CAV-2,1225,2026-04-03,OP-1002,0.51,0.47,0.04,0.12,79.59,54.75,25.87,2.02,0.18,0.02,PASS,-
ABS-IOT-0019,CAV-1,1250,2026-04-04,OP-1001,0.55,0.50,0.05,0.15,79.56,54.72,25.85,2.00,0.20,0.03,PASS,-
ABS-IOT-0020,CAV-2,1250,2026-04-04,OP-1001,0.49,0.46,0.03,0.10,79.61,54.76,25.89,2.03,0.16,0.02,PASS,-
ABS-IOT-0021,CAV-1,1275,2026-04-04,OP-1002,0.53,0.48,0.05,0.13,79.58,54.74,25.86,2.01,0.19,0.03,PASS,-
ABS-IOT-0022,CAV-2,1275,2026-04-04,OP-1002,0.58,0.53,0.05,0.17,79.54,54.70,25.83,1.99,0.21,0.04,PASS,-
ABS-IOT-0023,CAV-1,1300,2026-04-04,OP-1001,0.46,0.43,0.03,0.08,79.63,54.79,25.91,2.05,0.14,0.01,PASS,-
ABS-IOT-0024,CAV-2,1300,2026-04-04,OP-1001,0.60,0.55,0.05,0.18,79.52,54.68,25.82,1.98,0.22,0.04,PASS,-
ABS-IOT-0025,CAV-1,1325,2026-04-05,OP-1002,0.52,0.48,0.04,0.12,79.58,54.74,25.87,2.02,0.18,0.02,PASS,-
ABS-IOT-0026,CAV-2,1325,2026-04-05,OP-1002,0.55,0.51,0.04,0.14,79.56,54.72,25.85,2.00,0.20,0.03,PASS,-
ABS-IOT-0027,CAV-1,1350,2026-04-05,OP-1001,0.50,0.46,0.04,0.11,79.60,54.76,25.88,2.02,0.17,0.02,PASS,-
ABS-IOT-0028,CAV-2,1350,2026-04-05,OP-1001,0.57,0.52,0.05,0.16,79.54,54.70,25.84,1.99,0.21,0.03,PASS,-
ABS-IOT-0029,CAV-1,1375,2026-04-05,OP-1002,0.48,0.44,0.04,0.09,79.62,54.78,25.90,2.04,0.15,0.02,PASS,-
ABS-IOT-0030,CAV-2,1375,2026-04-05,OP-1002,0.54,0.50,0.04,0.14,79.57,54.72,25.86,2.01,0.19,0.03,PASS,-
ABS-IOT-0031,CAV-1,1400,2026-04-06,OP-1001,0.51,0.47,0.04,0.12,79.59,54.75,25.87,2.02,0.18,0.02,PASS,-
ABS-IOT-0032,CAV-2,1400,2026-04-06,OP-1001,0.56,0.51,0.05,0.15,79.55,54.71,25.85,2.00,0.20,0.03,PASS,-
ABS-IOT-0033,CAV-1,1425,2026-04-06,OP-1002,0.53,0.49,0.04,0.13,79.58,54.74,25.86,2.01,0.19,0.03,PASS,-
ABS-IOT-0034,CAV-2,1425,2026-04-06,OP-1002,0.59,0.54,0.05,0.17,79.53,54.69,25.83,1.98,0.22,0.04,PASS,-
ABS-IOT-0035,CAV-1,1450,2026-04-06,OP-1001,0.47,0.44,0.03,0.09,79.63,54.78,25.90,2.04,0.15,0.02,PASS,-
