device_id,wafer_lot,timestamp,station_id,test_temp_c,sens_x_mg_lsb,sens_y_mg_lsb,sens_z_mg_lsb,offset_x_mg,offset_y_mg,offset_z_mg,cross_axis_pct,nonlinearity_pct_fs,noise_density_ug_rthz,result
ACC-AQ-991200,WL-2026-088,2026-04-10T10:00:16+08:00,CAL-STA-02,25,0.491,0.483,0.485,15.6,-4.8,11.0,1.4,0.36,215,PASS
ACC-AQ-991201,WL-2026-089,2026-04-10T10:02:16+08:00,CAL-STA-03,25,0.486,0.493,0.488,7.9,-1.2,5.2,1.0,0.34,206,PASS
ACC-AQ-991202,WL-2026-089,2026-04-10T10:03:34+08:00,CAL-STA-02,25,0.49,0.489,0.485,3.1,3.2,-6.1,0.4,0.2,283,PASS
ACC-AQ-991203,WL-2026-090,2026-04-10T10:05:00+08:00,CAL-STA-03,25,0.488,0.489,0.484,12.3,-13.5,-3.5,1.3,0.35,185,PASS
ACC-AQ-991204,WL-2026-090,2026-04-10T10:06:49+08:00,CAL-STA-02,25,0.489,0.49,0.487,8.0,-15.6,11.9,1.0,0.32,256,PASS
ACC-AQ-991205,WL-2026-088,2026-04-10T10:08:23+08:00,CAL-STA-01,25,0.49,0.482,0.488,14.2,0.0,-10.7,1.1,0.26,183,PASS
ACC-AQ-991206,WL-2026-088,2026-04-10T10:09:09+08:00,CAL-STA-03,25,0.488,0.487,0.489,10.9,-3.4,18.2,1.1,0.36,207,PASS
ACC-AQ-991207,WL-2026-088,2026-04-10T10:11:00+08:00,CAL-STA-03,25,0.489,0.488,0.488,0.4,-3.9,4.2,0.8,0.34,218,PASS
ACC-AQ-991208,WL-2026-089,2026-04-10T10:12:01+08:00,CAL-STA-03,25,0.486,0.491,0.494,0.3,-16.9,16.5,1.0,0.21,221,PASS
ACC-AQ-991209,WL-2026-090,2026-04-10T10:13:33+08:00,CAL-STA-03,25,0.489,0.486,0.494,37.3,-11.2,13.4,0.9,0.21,214,PASS
ACC-AQ-991210,WL-2026-088,2026-04-10T10:15:48+08:00,CAL-STA-02,25,0.488,0.485,0.491,6.7,-4.2,-9.5,1.0,0.19,173,PASS
ACC-AQ-991211,WL-2026-088,2026-04-10T10:17:01+08:00,CAL-STA-03,25,0.49,0.49,0.491,-6.0,-5.7,15.9,0.9,0.27,255,PASS
ACC-AQ-991212,WL-2026-088,2026-04-10T10:18:53+08:00,CAL-STA-02,25,0.489,0.488,0.489,12.6,18.0,7.3,1.2,0.38,243,PASS
ACC-AQ-991213,WL-2026-089,2026-04-10T10:20:03+08:00,CAL-STA-01,25,0.489,0.489,0.485,8.1,-14.2,5.7,0.6,0.27,277,PASS
ACC-AQ-991214,WL-2026-090,2026-04-10T10:21:52+08:00,CAL-STA-02,25,0.489,0.491,0.491,17.1,11.2,-3.6,0.8,0.22,215,PASS
ACC-AQ-991215,WL-2026-088,2026-04-10T10:22:51+08:00,CAL-STA-02,25,0.487,0.486,0.485,-8.0,10.3,-2.2,1.5,0.3,203,PASS
ACC-AQ-991216,WL-2026-088,2026-04-10T10:24:50+08:00,CAL-STA-02,25,0.489,0.486,0.485,0.8,1.5,5.3,1.0,0.43,290,PASS
ACC-AQ-991217,WL-2026-089,2026-04-10T10:25:47+08:00,CAL-STA-02,25,0.494,0.491,0.487,-0.7,-9.3,-5.3,1.2,0.28,266,PASS
ACC-AQ-991218,WL-2026-090,2026-04-10T10:27:34+08:00,CAL-STA-02,25,0.489,0.488,0.485,11.1,5.4,18.0,0.7,0.3,207,PASS
ACC-AQ-991219,WL-2026-088,2026-04-10T10:29:05+08:00,CAL-STA-01,25,0.491,0.493,0.484,6.5,-11.2,-19.2,0.7,0.25,247,PASS
ACC-AQ-991220,WL-2026-090,2026-04-10T10:30:53+08:00,CAL-STA-02,25,0.491,0.488,0.488,5.5,-6.1,1.5,1.1,0.33,217,PASS
ACC-AQ-991221,WL-2026-088,2026-04-10T10:31:48+08:00,CAL-STA-02,25,0.484,0.487,0.488,-6.6,-11.3,12.7,0.8,0.38,200,PASS
ACC-AQ-991222,WL-2026-089,2026-04-10T10:33:24+08:00,CAL-STA-02,25,0.483,0.486,0.485,9.4,-9.6,8.3,1.2,0.34,284,PASS
ACC-AQ-991223,WL-2026-088,2026-04-10T10:34:54+08:00,CAL-STA-01,25,0.49,0.487,0.488,27.7,-10.0,18.9,1.0,0.29,318,FAIL
ACC-AQ-991224,WL-2026-090,2026-04-10T10:36:38+08:00,CAL-STA-02,25,0.49,0.491,0.488,9.9,2.9,10.8,1.5,0.19,235,PASS
ACC-AQ-991225,WL-2026-089,2026-04-10T10:37:34+08:00,CAL-STA-02,25,0.487,0.491,0.488,-0.6,13.5,25.4,0.9,0.37,194,PASS
ACC-AQ-991226,WL-2026-089,2026-04-10T10:39:12+08:00,CAL-STA-01,25,0.489,0.49,0.484,-3.9,-7.9,22.2,1.3,0.33,215,PASS
ACC-AQ-991227,WL-2026-088,2026-04-10T10:41:22+08:00,CAL-STA-01,25,0.493,0.488,0.489,6.6,3.7,17.7,1.5,0.23,236,PASS
ACC-AQ-991228,WL-2026-089,2026-04-10T10:42:41+08:00,CAL-STA-01,25,0.489,0.483,0.494,37.0,-19.7,9.1,1.4,0.26,209,PASS
ACC-AQ-991229,WL-2026-089,2026-04-10T10:44:10+08:00,CAL-STA-02,25,0.488,0.487,0.494,15.8,-4.2,13.5,1.2,0.14,179,PASS
ACC-AQ-991230,WL-2026-090,2026-04-10T10:45:15+08:00,CAL-STA-02,25,0.485,0.485,0.487,13.5,4.6,16.9,1.2,0.22,273,PASS
ACC-AQ-991231,WL-2026-089,2026-04-10T10:47:00+08:00,CAL-STA-01,25,0.492,0.49,0.485,-3.3,7.7,17.1,1.1,0.23,212,PASS
ACC-AQ-991232,WL-2026-088,2026-04-10T10:48:43+08:00,CAL-STA-02,25,0.487,0.487,0.494,12.1,-3.6,25.5,1.2,0.3,156,PASS
ACC-AQ-991233,WL-2026-090,2026-04-10T10:49:39+08:00,CAL-STA-01,25,0.498,0.496,0.486,-0.8,0.1,5.3,1.3,0.3,241,PASS
ACC-AQ-991234,WL-2026-090,2026-04-10T10:51:15+08:00,CAL-STA-03,25,0.49,0.487,0.487,13.5,-7.1,15.0,0.5,0.35,217,PASS
ACC-AQ-991235,WL-2026-088,2026-04-10T10:52:30+08:00,CAL-STA-01,25,0.491,0.487,0.483,22.8,15.9,-8.1,1.4,0.44,196,PASS
ACC-AQ-991236,WL-2026-088,2026-04-10T10:54:54+08:00,CAL-STA-02,25,0.49,0.489,0.486,4.2,3.0,23.4,0.7,0.3,223,PASS
ACC-AQ-991237,WL-2026-090,2026-04-10T10:55:53+08:00,CAL-STA-03,25,0.475,0.486,0.482,-1.5,-15.6,15.3,0.7,0.37,225,FAIL
ACC-AQ-991238,WL-2026-090,2026-04-10T10:57:02+08:00,CAL-STA-01,25,0.486,0.492,0.49,10.8,9.1,12.8,0.8,0.21,214,PASS
ACC-AQ-991239,WL-2026-088,2026-04-10T10:58:35+08:00,CAL-STA-01,25,0.492,0.486,0.488,8.1,4.5,-2.6,1.2,0.28,179,PASS
