part_id,build_plate_id,build_date,ct_scan_date,operator_id,relative_density_pct,max_pore_diameter_um,total_porosity_vol_pct,interconnected_porosity_detected,archimedes_density_g_cm3,ct_system_id,voxel_size_um,result,fail_code
AM-TI-0001,BP-2026-041,2026-03-15,2026-03-22,OP-301,99.72,88,0.28,NO,4.424,CT-NIKON-01,12.5,PASS,-
AM-TI-0002,BP-2026-041,2026-03-15,2026-03-22,OP-301,99.68,102,0.32,NO,4.422,CT-NIKON-01,12.5,PASS,-
AM-TI-0003,BP-2026-041,2026-03-15,2026-03-22,OP-301,99.81,65,0.19,NO,4.428,CT-NIKON-01,12.5,PASS,-
AM-TI-0004,BP-2026-041,2026-03-15,2026-03-22,OP-302,99.55,134,0.45,NO,4.416,CT-NIKON-01,12.5,PASS,-
AM-TI-0005,BP-2026-041,2026-03-15,2026-03-22,OP-302,99.38,162,0.62,NO,4.408,CT-NIKON-01,12.5,FAIL,PORE_OVERSIZE
AM-TI-0006,BP-2026-041,2026-03-15,2026-03-22,OP-302,99.61,110,0.39,NO,4.418,CT-NIKON-01,12.5,PASS,-
AM-TI-0007,BP-2026-042,2026-03-16,2026-03-23,OP-301,99.74,78,0.26,NO,4.425,CT-NIKON-01,12.5,PASS,-
AM-TI-0008,BP-2026-042,2026-03-16,2026-03-23,OP-301,99.66,95,0.34,NO,4.421,CT-NIKON-01,12.5,PASS,-
AM-TI-0009,BP-2026-042,2026-03-16,2026-03-23,OP-301,99.42,148,0.58,YES,4.410,CT-NIKON-01,12.5,FAIL,INTERCONNECTED
AM-TI-0010,BP-2026-042,2026-03-16,2026-03-23,OP-302,99.78,72,0.22,NO,4.427,CT-NIKON-01,12.5,PASS,-
AM-TI-0011,BP-2026-042,2026-03-16,2026-03-23,OP-302,99.69,98,0.31,NO,4.423,CT-NIKON-01,12.5,PASS,-
AM-TI-0012,BP-2026-042,2026-03-16,2026-03-23,OP-302,99.52,140,0.48,NO,4.415,CT-NIKON-01,12.5,PASS,-
AM-TI-0013,BP-2026-043,2026-03-17,2026-03-24,OP-301,99.83,58,0.17,NO,4.429,CT-NIKON-01,12.5,PASS,-
AM-TI-0014,BP-2026-043,2026-03-17,2026-03-24,OP-301,99.71,92,0.29,NO,4.424,CT-NIKON-01,12.5,PASS,-
AM-TI-0015,BP-2026-043,2026-03-17,2026-03-24,OP-301,99.58,118,0.42,NO,4.417,CT-NIKON-01,12.5,PASS,-
AM-TI-0016,BP-2026-043,2026-03-17,2026-03-24,OP-302,99.45,155,0.55,NO,4.411,CT-NIKON-01,12.5,FAIL,POROSITY_HIGH
AM-TI-0017,BP-2026-043,2026-03-17,2026-03-24,OP-302,99.76,82,0.24,NO,4.426,CT-NIKON-01,12.5,PASS,-
AM-TI-0018,BP-2026-043,2026-03-17,2026-03-24,OP-302,99.63,105,0.37,NO,4.419,CT-NIKON-01,12.5,PASS,-
AM-TI-0019,BP-2026-041,2026-03-15,2026-03-22,OP-301,99.70,90,0.30,NO,4.423,CT-NIKON-01,12.5,PASS,-
AM-TI-0020,BP-2026-041,2026-03-15,2026-03-22,OP-301,99.85,52,0.15,NO,4.430,CT-NIKON-01,12.5,PASS,-
AM-TI-0021,BP-2026-042,2026-03-16,2026-03-23,OP-302,99.59,115,0.41,NO,4.418,CT-NIKON-01,12.5,PASS,-
AM-TI-0022,BP-2026-042,2026-03-16,2026-03-23,OP-302,99.73,85,0.27,NO,4.424,CT-NIKON-01,12.5,PASS,-
AM-TI-0023,BP-2026-043,2026-03-17,2026-03-24,OP-301,99.80,68,0.20,NO,4.428,CT-NIKON-01,12.5,PASS,-
AM-TI-0024,BP-2026-043,2026-03-17,2026-03-24,OP-301,99.64,108,0.36,NO,4.420,CT-NIKON-01,12.5,PASS,-
AM-TI-0025,BP-2026-041,2026-03-15,2026-03-22,OP-302,99.77,75,0.23,NO,4.426,CT-NIKON-01,12.5,PASS,-
AM-TI-0026,BP-2026-042,2026-03-16,2026-03-23,OP-301,99.54,130,0.46,NO,4.416,CT-NIKON-01,12.5,PASS,-
AM-TI-0027,BP-2026-042,2026-03-16,2026-03-23,OP-301,99.67,100,0.33,NO,4.422,CT-NIKON-01,12.5,PASS,-
AM-TI-0028,BP-2026-043,2026-03-17,2026-03-24,OP-302,99.82,62,0.18,NO,4.429,CT-NIKON-01,12.5,PASS,-
AM-TI-0029,BP-2026-043,2026-03-17,2026-03-24,OP-302,99.48,145,0.52,NO,4.413,CT-NIKON-01,12.5,FAIL,POROSITY_HIGH
AM-TI-0030,BP-2026-041,2026-03-15,2026-03-22,OP-301,99.75,80,0.25,NO,4.425,CT-NIKON-01,12.5,PASS,-
AM-TI-0031,BP-2026-042,2026-03-16,2026-03-23,OP-302,99.60,112,0.40,NO,4.418,CT-NIKON-01,12.5,PASS,-
AM-TI-0032,BP-2026-043,2026-03-17,2026-03-24,OP-301,99.79,70,0.21,NO,4.427,CT-NIKON-01,12.5,PASS,-
AM-TI-0033,BP-2026-041,2026-03-15,2026-03-22,OP-302,99.88,45,0.12,NO,4.431,CT-NIKON-01,12.5,PASS,-
AM-TI-0034,BP-2026-042,2026-03-16,2026-03-23,OP-301,99.44,152,0.56,NO,4.411,CT-NIKON-01,12.5,FAIL,PORE_OVERSIZE
AM-TI-0035,BP-2026-043,2026-03-17,2026-03-24,OP-302,99.71,88,0.29,NO,4.424,CT-NIKON-01,12.5,PASS,-
