antenna_id,timestamp,station_id,operator_id,vswr_26ghz,vswr_27ghz,vswr_28ghz,vswr_29ghz,vswr_30ghz,return_loss_center_db,gain_dbi,beamwidth_deg,isolation_db,result
ANT-5G-04800,2026-04-10T09:00:37+08:00,VNA-STA-02,RF-OP-02,1.38,1.23,1.11,1.4,1.16,-18.8,5.5,72.2,24.1,PASS
ANT-5G-04801,2026-04-10T09:05:42+08:00,VNA-STA-02,RF-OP-02,1.35,1.19,1.16,1.24,1.34,-17.8,6.7,73.9,23.1,PASS
ANT-5G-04802,2026-04-10T09:08:51+08:00,VNA-STA-01,RF-OP-03,1.7,1.13,1.16,1.42,1.29,-19.8,6.3,70.8,20.5,PASS
ANT-5G-04803,2026-04-10T09:13:46+08:00,VNA-STA-02,RF-OP-02,1.28,1.4,1.02,1.53,1.34,-19.2,6.1,68.9,21.9,PASS
ANT-5G-04804,2026-04-10T09:17:56+08:00,VNA-STA-02,RF-OP-02,1.41,1.24,1.14,1.39,1.41,-17.5,6.3,73.0,20.6,PASS
ANT-5G-04805,2026-04-10T09:20:15+08:00,VNA-STA-02,RF-OP-01,1.34,1.26,1.15,1.36,1.24,-14.1,6.3,74.1,23.7,PASS
ANT-5G-04806,2026-04-10T09:25:12+08:00,VNA-STA-02,RF-OP-02,1.51,1.15,1.24,1.46,1.4,-20.9,6.1,78.0,23.6,PASS
ANT-5G-04807,2026-04-10T09:28:27+08:00,VNA-STA-02,RF-OP-03,1.45,1.26,1.1,1.37,1.22,-17.6,7.4,76.8,23.4,PASS
ANT-5G-04808,2026-04-10T09:32:28+08:00,VNA-STA-02,RF-OP-03,1.38,1.33,1.09,1.04,1.5,-15.8,7.1,69.4,24.8,PASS
ANT-5G-04809,2026-04-10T09:36:48+08:00,VNA-STA-02,RF-OP-02,2.52,1.11,1.2,1.39,2.24,-16.0,6.1,84.5,24.6,FAIL
ANT-5G-04810,2026-04-10T09:41:25+08:00,VNA-STA-01,RF-OP-01,1.35,1.3,1.16,1.44,1.59,-15.9,7.3,68.5,22.5,PASS
ANT-5G-04811,2026-04-10T09:44:30+08:00,VNA-STA-02,RF-OP-03,1.46,1.26,1.17,1.35,1.71,-23.0,6.2,74.0,20.5,PASS
ANT-5G-04812,2026-04-10T09:48:02+08:00,VNA-STA-02,RF-OP-02,1.25,1.22,1.18,1.35,1.38,-16.1,5.4,68.3,20.5,PASS
ANT-5G-04813,2026-04-10T09:53:57+08:00,VNA-STA-02,RF-OP-03,1.08,1.29,1.09,1.14,1.48,-17.6,6.1,75.4,25.0,PASS
ANT-5G-04814,2026-04-10T09:56:05+08:00,VNA-STA-02,RF-OP-01,2.07,1.33,1.16,1.2,2.16,-19.7,6.3,75.0,24.0,FAIL
ANT-5G-04815,2026-04-10T10:00:42+08:00,VNA-STA-02,RF-OP-01,1.7,1.22,1.05,1.52,1.36,-15.8,6.6,63.4,20.7,PASS
ANT-5G-04816,2026-04-10T10:04:28+08:00,VNA-STA-02,RF-OP-03,2.18,1.62,1.31,1.32,2.11,-16.8,6.6,67.8,24.6,FAIL
ANT-5G-04817,2026-04-10T10:09:45+08:00,VNA-STA-02,RF-OP-01,1.24,1.14,1.26,1.31,1.81,-19.8,6.6,75.3,24.0,PASS
ANT-5G-04818,2026-04-10T10:13:04+08:00,VNA-STA-01,RF-OP-02,1.18,1.44,1.17,1.25,1.58,-19.8,5.1,76.0,27.7,PASS
ANT-5G-04819,2026-04-10T10:16:04+08:00,VNA-STA-01,RF-OP-01,1.59,1.32,1.25,1.16,1.54,-22.6,6.1,68.1,25.2,PASS
ANT-5G-04820,2026-04-10T10:20:45+08:00,VNA-STA-01,RF-OP-01,1.36,1.24,1.19,1.44,1.59,-18.2,6.1,69.3,21.6,PASS
ANT-5G-04821,2026-04-10T10:25:49+08:00,VNA-STA-02,RF-OP-03,1.37,1.38,1.21,1.39,1.51,-19.6,6.5,80.2,22.9,PASS
ANT-5G-04822,2026-04-10T10:29:28+08:00,VNA-STA-02,RF-OP-03,1.48,1.21,1.14,1.12,1.41,-14.0,6.2,79.3,21.9,PASS
ANT-5G-04823,2026-04-10T10:32:48+08:00,VNA-STA-01,RF-OP-01,1.11,1.13,1.39,1.29,1.47,-12.7,6.3,78.8,22.2,PASS
ANT-5G-04824,2026-04-10T10:36:51+08:00,VNA-STA-02,RF-OP-01,1.4,1.37,1.41,1.15,1.55,-12.7,6.2,78.2,24.8,PASS
ANT-5G-04825,2026-04-10T10:41:29+08:00,VNA-STA-01,RF-OP-03,1.63,1.16,1.09,1.29,1.35,-16.7,6.2,70.2,20.6,PASS
ANT-5G-04826,2026-04-10T10:45:04+08:00,VNA-STA-02,RF-OP-03,1.44,1.15,1.2,1.19,1.81,-18.1,6.3,72.7,24.3,PASS
ANT-5G-04827,2026-04-10T10:49:17+08:00,VNA-STA-01,RF-OP-02,1.39,1.19,1.21,1.17,1.92,-16.2,6.1,76.2,24.1,PASS
ANT-5G-04828,2026-04-10T10:52:38+08:00,VNA-STA-01,RF-OP-03,1.75,1.17,1.26,1.34,1.61,-13.8,7.2,63.5,22.3,PASS
