blade_id,casting_lot,test_date,cmm_id,airfoil_profile_dev_mm,root_width_dev_mm,root_depth_dev_mm,chord_length_dev_mm,le_radius_dev_mm,cooling_hole_tp_mm,wall_thickness_min_mm,result
BLD-HPT1-26-00440,CL-SC-2026-018,2026-04-10,CMM-5AX-02,0.02,0.022,0.011,-0.005,0.011,0.09,0.77,PASS
BLD-HPT1-26-00441,CL-SC-2026-018,2026-04-10,CMM-5AX-01,0.017,0.013,0.01,0.005,0.02,0.06,0.84,PASS
BLD-HPT1-26-00442,CL-SC-2026-018,2026-04-10,CMM-5AX-02,0.036,0.014,0.012,-0.028,0.009,0.08,0.84,PASS
BLD-HPT1-26-00443,CL-SC-2026-018,2026-04-10,CMM-5AX-01,0.021,0.012,0.012,-0.044,0.017,0.09,0.89,PASS
BLD-HPT1-26-00444,CL-SC-2026-018,2026-04-10,CMM-5AX-01,0.029,0.019,0.024,-0.046,0.007,0.08,0.9,PASS
BLD-HPT1-26-00445,CL-SC-2026-018,2026-04-10,CMM-5AX-01,0.005,0.016,0.005,-0.06,0.013,0.07,0.86,PASS
BLD-HPT1-26-00446,CL-SC-2026-018,2026-04-10,CMM-5AX-01,0.018,0.011,0.017,-0.03,0.024,0.09,0.86,PASS
BLD-HPT1-26-00447,CL-SC-2026-018,2026-04-10,CMM-5AX-01,0.036,0.01,0.007,-0.011,0.024,0.09,0.83,PASS
BLD-HPT1-26-00448,CL-SC-2026-019,2026-04-10,CMM-5AX-01,0.074,0.024,0.011,-0.035,0.018,0.11,0.82,PASS
BLD-HPT1-26-00449,CL-SC-2026-019,2026-04-10,CMM-5AX-02,0.038,0.004,0.008,-0.014,0.005,0.06,0.85,PASS
BLD-HPT1-26-00450,CL-SC-2026-019,2026-04-10,CMM-5AX-01,0.055,0.015,0.012,0.068,0.017,0.08,0.82,PASS
BLD-HPT1-26-00451,CL-SC-2026-019,2026-04-10,CMM-5AX-01,0.025,0.015,0.009,-0.079,0.017,0.18,0.88,FAIL
BLD-HPT1-26-00452,CL-SC-2026-019,2026-04-10,CMM-5AX-02,0.032,0.003,0.01,-0.018,0.045,0.14,0.87,PASS
BLD-HPT1-26-00453,CL-SC-2026-019,2026-04-10,CMM-5AX-02,0.011,0.001,0.004,-0.019,0.025,0.06,0.86,PASS
BLD-HPT1-26-00454,CL-SC-2026-019,2026-04-10,CMM-5AX-01,0.029,0.005,0.008,0.002,-0.001,0.14,0.78,PASS
BLD-HPT1-26-00455,CL-SC-2026-019,2026-04-10,CMM-5AX-02,0.01,0.012,0.006,-0.026,-0.006,0.04,0.81,PASS
BLD-HPT1-26-00456,CL-SC-2026-020,2026-04-10,CMM-5AX-02,0.016,0.014,0.007,0.006,-0.004,0.03,0.76,PASS
BLD-HPT1-26-00457,CL-SC-2026-020,2026-04-10,CMM-5AX-02,0.023,0.009,0.021,-0.005,0.025,0.1,0.78,PASS
BLD-HPT1-26-00458,CL-SC-2026-020,2026-04-10,CMM-5AX-01,0.028,0.007,0.001,-0.003,0.035,0.07,0.81,PASS
BLD-HPT1-26-00459,CL-SC-2026-020,2026-04-10,CMM-5AX-01,0.038,0.003,0.011,-0.015,0.006,0.09,0.78,PASS
BLD-HPT1-26-00460,CL-SC-2026-020,2026-04-10,CMM-5AX-02,0.026,0.009,0.004,-0.032,0.023,0.07,0.87,PASS
BLD-HPT1-26-00461,CL-SC-2026-020,2026-04-10,CMM-5AX-01,0.009,0.018,0.006,-0.046,0.036,0.09,0.81,PASS
BLD-HPT1-26-00462,CL-SC-2026-020,2026-04-10,CMM-5AX-01,0.022,0.002,0.007,0.013,0.001,0.02,0.8,PASS
BLD-HPT1-26-00463,CL-SC-2026-020,2026-04-10,CMM-5AX-02,0.072,0.004,0.019,0.005,0.015,0.1,0.84,PASS
BLD-HPT1-26-00464,CL-SC-2026-021,2026-04-10,CMM-5AX-02,0.04,0.003,0.014,-0.034,0.008,0.09,0.9,PASS
BLD-HPT1-26-00465,CL-SC-2026-021,2026-04-10,CMM-5AX-01,0.021,0.013,0.008,-0.045,0.017,0.11,0.85,PASS
BLD-HPT1-26-00466,CL-SC-2026-021,2026-04-10,CMM-5AX-01,0.016,0.004,0.013,-0.038,0.022,0.09,0.83,PASS
BLD-HPT1-26-00467,CL-SC-2026-021,2026-04-10,CMM-5AX-02,0.005,0.013,0.004,0.038,0.023,0.08,0.88,PASS
BLD-HPT1-26-00468,CL-SC-2026-021,2026-04-10,CMM-5AX-01,0.03,0.01,0.01,0.018,0.021,0.05,0.76,PASS
BLD-HPT1-26-00469,CL-SC-2026-021,2026-04-10,CMM-5AX-02,0.008,0.007,0.009,-0.002,0.007,0.07,0.81,PASS
BLD-HPT1-26-00470,CL-SC-2026-021,2026-04-10,CMM-5AX-02,0.031,0.019,0.007,-0.009,-0.006,0.05,0.79,PASS
BLD-HPT1-26-00471,CL-SC-2026-021,2026-04-10,CMM-5AX-02,0.017,0.013,0.004,-0.063,-0.008,0.07,0.83,PASS
BLD-HPT1-26-00472,CL-SC-2026-022,2026-04-10,CMM-5AX-01,0.025,0.018,0.012,-0.019,0.034,0.13,0.87,PASS
BLD-HPT1-26-00473,CL-SC-2026-022,2026-04-10,CMM-5AX-01,0.03,0.015,0.012,-0.058,0.02,0.05,0.88,PASS
BLD-HPT1-26-00474,CL-SC-2026-022,2026-04-10,CMM-5AX-02,0.02,0.005,0.017,-0.031,0.014,0.07,0.82,PASS
