sample_id,outfall_id,sample_date,analysis_date,analyst_id,bod5_mg_l,tss_mg_l,ph,oil_grease_mg_l,total_n_mg_l,total_p_mg_l,ammonia_n_mg_l,fecal_coliform_col_100ml,result,violation_code
WW-2026-0401,OF-001,2026-04-01,2026-04-03,AN-401,18.5,22.0,7.2,4.5,6.8,0.52,2.8,45,PASS,-
WW-2026-0402,OF-001,2026-04-02,2026-04-04,AN-401,22.0,25.5,7.0,6.2,7.5,0.65,3.2,62,PASS,-
WW-2026-0403,OF-001,2026-04-03,2026-04-05,AN-402,15.2,18.8,7.4,3.8,5.5,0.42,2.2,35,PASS,-
WW-2026-0404,OF-001,2026-04-04,2026-04-06,AN-402,28.5,32.0,6.8,8.5,8.2,0.78,4.0,88,PASS,-
WW-2026-0405,OF-001,2026-04-05,2026-04-07,AN-401,20.0,24.0,7.1,5.0,7.0,0.55,2.8,52,PASS,-
WW-2026-0406,OF-001,2026-04-06,2026-04-08,AN-401,35.2,38.5,6.5,12.8,9.5,0.88,5.5,125,PASS,-
WW-2026-0407,OF-001,2026-04-07,2026-04-09,AN-402,16.8,20.5,7.3,4.2,6.0,0.48,2.5,40,PASS,-
WW-2026-0408,OF-001,2026-04-08,2026-04-10,AN-402,48.2,52.5,6.2,18.5,12.5,1.25,6.8,280,FAIL,BOD_TSS_DAILY_MAX
WW-2026-0409,OF-001,2026-04-09,2026-04-11,AN-401,19.5,23.0,7.2,4.8,6.5,0.52,2.6,48,PASS,-
WW-2026-0410,OF-001,2026-04-10,2026-04-12,AN-401,24.0,28.2,7.0,6.8,7.8,0.68,3.5,70,PASS,-
WW-2026-0411,OF-001,2026-04-11,2026-04-13,AN-402,14.5,17.5,7.5,3.5,5.2,0.40,2.0,32,PASS,-
WW-2026-0412,OF-001,2026-04-12,2026-04-14,AN-402,26.0,30.0,6.9,7.5,8.0,0.72,3.8,82,PASS,-
WW-2026-0413,OF-001,2026-04-13,2026-04-15,AN-401,18.0,21.5,7.2,4.5,6.5,0.50,2.5,45,PASS,-
WW-2026-0414,OF-001,2026-04-14,2026-04-16,AN-401,21.5,25.0,7.1,5.8,7.2,0.58,3.0,58,PASS,-
WW-2026-0415,OF-001,2026-04-15,2026-04-17,AN-402,32.0,35.5,6.6,10.5,9.0,0.85,5.2,110,PASS,-
WW-2026-0416,OF-001,2026-04-16,2026-04-18,AN-402,17.5,20.0,7.3,4.0,6.2,0.45,2.4,42,PASS,-
WW-2026-0417,OF-001,2026-04-17,2026-04-19,AN-401,20.5,24.5,7.1,5.2,7.0,0.55,2.8,55,PASS,-
WW-2026-0418,OF-001,2026-04-18,2026-04-20,AN-401,15.0,18.0,7.4,3.5,5.5,0.42,2.0,35,PASS,-
WW-2026-0419,OF-001,2026-04-19,2026-04-21,AN-402,25.5,29.5,6.9,7.2,7.8,0.70,3.5,78,PASS,-
WW-2026-0420,OF-001,2026-04-20,2026-04-22,AN-402,19.0,22.5,7.2,4.8,6.8,0.52,2.6,48,PASS,-
WW-2026-0421,OF-001,2026-04-21,2026-04-23,AN-401,22.5,26.0,7.0,6.0,7.5,0.62,3.2,65,PASS,-
WW-2026-0422,OF-001,2026-04-22,2026-04-24,AN-401,16.0,19.5,7.3,4.0,5.8,0.45,2.2,38,PASS,-
WW-2026-0423,OF-001,2026-04-23,2026-04-25,AN-402,28.0,32.5,6.8,8.2,8.5,0.78,4.2,92,PASS,-
WW-2026-0424,OF-001,2026-04-24,2026-04-26,AN-402,18.5,21.5,7.2,4.5,6.5,0.50,2.5,45,PASS,-
WW-2026-0425,OF-001,2026-04-25,2026-04-27,AN-401,14.0,16.8,7.5,3.2,5.0,0.38,1.8,30,PASS,-
WW-2026-0426,OF-001,2026-04-26,2026-04-28,AN-401,23.5,27.5,7.0,6.5,7.5,0.65,3.2,68,PASS,-
WW-2026-0427,OF-001,2026-04-27,2026-04-29,AN-402,20.0,23.5,7.1,5.0,7.0,0.55,2.8,52,PASS,-
WW-2026-0428,OF-001,2026-04-28,2026-04-30,AN-402,17.0,20.0,7.3,4.2,6.0,0.48,2.4,40,PASS,-
WW-2026-0429,OF-001,2026-04-29,2026-05-01,AN-401,26.5,30.5,6.8,7.8,8.2,0.75,3.8,85,PASS,-
WW-2026-0430,OF-001,2026-04-30,2026-05-02,AN-401,19.5,22.5,7.2,4.8,6.5,0.52,2.6,50,PASS,-
